No.,dice,memo
01,0.6026,(base)
02,0.5830,Flip
03,0.6031,RandomBrightnessContrast
04,0.6178,ShiftScaleRotate
05,0.6010,Noise
06,0.6166,GridDistortion
07,0.6056,CoarseDropout
08,0.6021,A.Downscale
09,0.5361,RandomSizedCrop
10,0.6145,RandomGridShuffle
11,0.6038,HueSaturationValue
12,0.5988,RGBShift
13,0.6042,HorizontalFlip
14,0.5957,VerticalFlip
15,0.6154,RandomRotate90
16,0.6073,Unet++
17,0.4793,MAnet
18,0.5722,Linknet
19,0.5454,FPN
20,0.4335,PSPNet
21,0.4393,DeepLabV3Plus
22,0.4090,PAN
23,0.5896,resnext50_32x4d
24,0.5761,mit_b0
25,0.5878,mit_b1
26,0.5962,11-15
27,0.5976,11-15/Unet++
