No.,CV,LB,memo
01,0.6477,0.634,timm-resnest26d(base)
02,0.6142,0.000,efficientnet-B0
03,0.6485,0.627,labelsmooth_0.1
04,0.6475,0.633,labelsmooth_10
05,0.6500,0.646,labelsmooth_300
06,0.6158,0.000,RandomRotate90(p=1)
07,0.6392,0.000,RandomRotate90(p=0)
08,0.6514,0.636,timm-resnest50d
09,0.5864,0.000,img_size_384
10,0.6437,0.000,cutmix
11,0.6437,0.631,labelsmooth_1500
12,0.6438,0.000,labelsmooth_7000
13,0.6237,0.000,CosineAnnealingLR_epoch30
14,0.6433,0.000,CosineAnnealingLR_epoch100
15,0.6489,0.000,clipping
16,0.6408,0.000,Dice_WCE_Loss/CosineAnnealingLR
17,0.6405,0.000,timm-resnest50d_labelsmooth_300/CosineAnnealingLR
18,0.6538,0.000,timm-resnest101e_labelsmooth_300/CosineAnnealingLR
19,0.6537,0.000,timm-resnest200e_labelsmooth_300/CosineAnnealingLR
20,0.6571,0.645,timm-resnest101e_labelsmooth_300
21,0.6592,0.638,timm-resnest200e_labelsmooth_300
22,0.6675,0.665,ashcolor_multilabel(base)
23,0.6621,,band11-15_multilabel
24,0.6628,,band11-15_multilabel_norm
25,0.6672,,ashcolor_multilabel_150epoch
26,0.6652,,ashcolor_clip_multilabel
27,0.6613,,DiceBCEloss
28,0.6644,,batchsize_64
29,0.6677,,TripletUnet

